?source_wd	?sourceName	?tryDataLab	?tryDataVal	?unit	?unitComment
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf lifespan (longevity, retention time, LL, LLS)"^^<http://www.w3.org/2001/XMLSchema#string>	20.0	<http://qudt.org/vocab/unit/MO>	"months"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.17	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Maximum height"^^<http://www.w3.org/2001/XMLSchema#string>	40.0	<http://qudt.org/vocab/unit/M>	"m"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Photosynthesis per leaf area at leaf temperature (Aarea)"^^<http://www.w3.org/2001/XMLSchema#string>	9.0	<http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC>	"micro mol m-2 s-1"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Photosynthesis per leaf area at leaf temperature (Aarea)"^^<http://www.w3.org/2001/XMLSchema#string>	9.0	<http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC>	"µmol(CO2) m-2 s-1"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Plant height vegetative"^^<http://www.w3.org/2001/XMLSchema#string>	15.0	<http://qudt.org/vocab/unit/M>	"m"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Plant height vegetative"^^<http://www.w3.org/2001/XMLSchema#string>	40.0	<http://qudt.org/vocab/unit/M>	"m"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Seed dry mass"^^<http://www.w3.org/2001/XMLSchema#string>	0.0033	<http://qudt.org/vocab/unit/GM>	"g"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Seed dry mass"^^<http://www.w3.org/2001/XMLSchema#string>	4.252083	<http://qudt.org/vocab/unit/MilliGM>	"g/1000"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Seed dry mass"^^<http://www.w3.org/2001/XMLSchema#string>	5.552	<http://qudt.org/vocab/unit/MilliGM>	"g/1000"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Seed dry mass"^^<http://www.w3.org/2001/XMLSchema#string>	7.346	<http://qudt.org/vocab/unit/MilliGM>	"g/1000"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"SLA: undefined if petiole in- or excluded (1)"^^<http://www.w3.org/2001/XMLSchema#string>	81.0	<http://qudt.org/vocab/unit/CentiM2-PER-GM>	"cm2 g-1"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Wood density at 0% humidity"^^<http://www.w3.org/2001/XMLSchema#string>	450.0	<http://qudt.org/vocab/unit/KiloGM-PER-M3>	"kg/m3"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Wood density at 0% humidity"^^<http://www.w3.org/2001/XMLSchema#string>	480.0	<http://qudt.org/vocab/unit/KiloGM-PER-M3>	"kg/m3"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Wood density at 0% humidity"^^<http://www.w3.org/2001/XMLSchema#string>	500.0	<http://qudt.org/vocab/unit/KiloGM-PER-M3>	"kg/m3"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Wood density at 12 - 15% humidity"^^<http://www.w3.org/2001/XMLSchema#string>	510.0	<http://qudt.org/vocab/unit/KiloGM-PER-M3>	"kg/m3"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Wood density at 12 - 15% humidity"^^<http://www.w3.org/2001/XMLSchema#string>	580.0	<http://qudt.org/vocab/unit/KiloGM-PER-M3>	"kg/m3"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Wood density of green volume"^^<http://www.w3.org/2001/XMLSchema#string>	900.0	<http://qudt.org/vocab/unit/KiloGM-PER-M3>	"kg/m3"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Wood density of green volume"^^<http://www.w3.org/2001/XMLSchema#string>	1000.0	<http://qudt.org/vocab/unit/KiloGM-PER-M3>	"kg/m3"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Wood density; stem specific density; wood specific gravity (SSD)"^^<http://www.w3.org/2001/XMLSchema#string>	0.4	<http://qudt.org/vocab/unit/GM-PER-CentiM3>	"g/cm^3"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Wood density; stem specific density; wood specific gravity (SSD)"^^<http://www.w3.org/2001/XMLSchema#string>	0.4	<http://qudt.org/vocab/unit/GM-PER-CentiM3>	"g/cm3"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Wood density; stem specific density; wood specific gravity (SSD)"^^<http://www.w3.org/2001/XMLSchema#string>	0.505	<http://qudt.org/vocab/unit/GM-PER-CentiM3>	"t m3"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1002397>	"Laurelia sempervirens"^^<http://www.w3.org/2001/XMLSchema#string>	"Wood density; stem specific density; wood specific gravity (SSD)"^^<http://www.w3.org/2001/XMLSchema#string>	0.56	<http://qudt.org/vocab/unit/GM-PER-CentiM3>	"t m3"^^<http://www.w3.org/2001/XMLSchema#string>
