?structure_inchikey	?wd_chem	?source_wdx	?sourceName
"AANMVENRNJYEMK-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q21099100>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
"AAPGEKMDLXBUBL-ZGNLYJAISA-N"	<http://www.wikidata.org/entity/Q104908267>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"AAZCYGRPIATBDB-CPLUKWAASA-N"	<http://www.wikidata.org/entity/Q125028436>	<http://www.wikidata.org/entity/Q15388741>	"Ceriops decandra"^^<http://www.w3.org/2001/XMLSchema#string>
"AAZCYGRPIATBDB-YKCBXCCJSA-N"	<http://www.wikidata.org/entity/Q125028432>	<http://www.wikidata.org/entity/Q15388741>	"Ceriops decandra"^^<http://www.w3.org/2001/XMLSchema#string>
"ABSPRNADVQNDOU-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q82040339>	<http://www.wikidata.org/entity/Q3266951>	"Handroanthus impetiginosus"^^<http://www.w3.org/2001/XMLSchema#string>
"ACWNTJJUZAIOLW-BWXYOZBYSA-N"	<http://www.wikidata.org/entity/Q104909346>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
"ACXQJXRUXSASPM-CRCWOVDESA-N"	<http://www.wikidata.org/entity/Q104909372>	<http://www.wikidata.org/entity/Q3274110>	"Nageia nagi"^^<http://www.w3.org/2001/XMLSchema#string>
"ADDGUHVEJPNWQZ-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q110077485>	<http://www.wikidata.org/entity/Q2065540>	"Taxus brevifolia"^^<http://www.w3.org/2001/XMLSchema#string>
"ADIDQIZBYUABQK-RWMBFGLXSA-N"	<http://www.wikidata.org/entity/Q5613309>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"ADNADZOSMJDVIS-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q27272766>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
"AEGWYWSJGKOLGB-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q104910062>	<http://www.wikidata.org/entity/Q3274110>	"Nageia nagi"^^<http://www.w3.org/2001/XMLSchema#string>
"AEGWYWSJGKOLGB-ZLNDBNLZSA-N"	<http://www.wikidata.org/entity/Q83043713>	<http://www.wikidata.org/entity/Q3274110>	"Nageia nagi"^^<http://www.w3.org/2001/XMLSchema#string>
"AEVLWICMAHGAMS-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q27285352>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
"AEXMKKGTQYQZCS-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q2815978>	<http://www.wikidata.org/entity/Q147388>	"Cryptomeria japonica"^^<http://www.w3.org/2001/XMLSchema#string>
"AFFCSQROTFZBBI-VKDGGWMYSA-N"	<http://www.wikidata.org/entity/Q104911115>	<http://www.wikidata.org/entity/Q909828>	"Shorea robusta"^^<http://www.w3.org/2001/XMLSchema#string>
"AFRLMSOCDMQZOR-HIFRSBDPSA-N"	<http://www.wikidata.org/entity/Q104911437>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"AFRLMSOCDMQZOR-ZFWWWQNUSA-N"	<http://www.wikidata.org/entity/Q104911440>	<http://www.wikidata.org/entity/Q33482>	"Platycladus orientalis"^^<http://www.w3.org/2001/XMLSchema#string>
"AFSDNFLWKVMVRB-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q422044>	<http://www.wikidata.org/entity/Q161360>	"Chamaecyparis lawsoniana"^^<http://www.w3.org/2001/XMLSchema#string>
"AFSDNFLWKVMVRB-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q422044>	<http://www.wikidata.org/entity/Q162822>	"Eucalyptus camaldulensis"^^<http://www.w3.org/2001/XMLSchema#string>
"AFSDNFLWKVMVRB-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q422044>	<http://www.wikidata.org/entity/Q2998198>	"Corymbia calophylla"^^<http://www.w3.org/2001/XMLSchema#string>
