?parasiteX_WD	?parasiteName	?intxn1Label	?allelopathX_WD	?allelopathName	?intxn2Label	?agriCrop_WD	?agriCropName	?intxn3Label	?study1_DOI	?study2_DOI	?study3_DOI
<http://www.wikidata.org/entity/Q103806070>	"Fusarium graminearum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q10887953>	"Brachiaria brizantha"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q11575>	"Zea mays L."^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.1002/ps.6261"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://www.wikidata.org/entity/Q103806070>	"Fusarium graminearum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q15509403>	"Brachiaria ruziziensis"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q11575>	"Zea mays L."^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.1002/ps.6261"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://www.wikidata.org/entity/Q103806210>	"Fusarium heterosporum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q10887953>	"Brachiaria brizantha"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q11575>	"Zea mays L."^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.1002/ps.6261"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://www.wikidata.org/entity/Q103806210>	"Fusarium heterosporum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q15509798>	"Brachiaria decumbens"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q11575>	"Zea mays L."^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.1002/ps.6261"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://www.wikidata.org/entity/Q103806210>	"Fusarium heterosporum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q217227>	"Claviceps purpurea"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q11577>	"Barley"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.5962/bhl.title.85555"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://www.wikidata.org/entity/Q103806210>	"Fusarium heterosporum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q217227>	"Claviceps purpurea"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q147783>	"Poa pratensis"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.5962/bhl.title.85562"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://www.wikidata.org/entity/Q103806210>	"Fusarium heterosporum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q217227>	"Claviceps purpurea"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q157883>	"Lolium multiflorum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.5962/bhl.title.85562"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://www.wikidata.org/entity/Q103806210>	"Fusarium heterosporum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q217227>	"Claviceps purpurea"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q157922>	"Festuca elatior var. arundinacea"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.5962/bhl.title.85562"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://www.wikidata.org/entity/Q103806210>	"Fusarium heterosporum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q217227>	"Claviceps purpurea"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q159702>	"Festuca rubra"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.5962/bhl.title.85562"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://www.wikidata.org/entity/Q103806210>	"Fusarium heterosporum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q217227>	"Claviceps purpurea"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q161722>	"Lolium perenne"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.5962/bhl.title.85562"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://www.wikidata.org/entity/Q104084128>	"Anthracocystis flocculosa"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q54366438>	"Erysiphe polygoni"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q156635>	"Clover, Red"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.5962/bhl.title.85555"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://www.wikidata.org/entity/Q104095947>	"Bipolaris cynodontis"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q10887953>	"Brachiaria brizantha"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q11575>	"Zea mays L."^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.1002/ps.6261"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://www.wikidata.org/entity/Q104096313>	"Fusarium acuminatum"^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q10887953>	"Brachiaria brizantha"^^<http://www.w3.org/2001/XMLSchema#string>	"allelopathOf"^^<http://www.w3.org/2001/XMLSchema#string>	<http://www.wikidata.org/entity/Q11575>	"Zea mays L."^^<http://www.w3.org/2001/XMLSchema#string>	"hasHost"^^<http://www.w3.org/2001/XMLSchema#string>		"10.1002/ps.6261"^^<http://www.w3.org/2001/XMLSchema#string>	
