?structure_inchikey	?wd_chem	?source_wdx	?sourceName
"DTOSIQBPPRVQHS-IUQGRGSQSA-N"	<http://www.wikidata.org/entity/Q27286664>	<http://www.wikidata.org/entity/Q1002550>	"Calodendrum capense"^^<http://www.w3.org/2001/XMLSchema#string>
"DTOSIQBPPRVQHS-PDBXOOCHSA-N"	<http://www.wikidata.org/entity/Q256502>	<http://www.wikidata.org/entity/Q1002550>	"Calodendrum capense"^^<http://www.w3.org/2001/XMLSchema#string>
"IPCSVZSSVZVIGE-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q209727>	<http://www.wikidata.org/entity/Q1002550>	"Calodendrum capense"^^<http://www.w3.org/2001/XMLSchema#string>
"OYHQOLUKZRVURQ-HZJYTTRNSA-N"	<http://www.wikidata.org/entity/Q407426>	<http://www.wikidata.org/entity/Q1002550>	"Calodendrum capense"^^<http://www.w3.org/2001/XMLSchema#string>
"QIQXTHQIDYTFRH-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q209685>	<http://www.wikidata.org/entity/Q1002550>	"Calodendrum capense"^^<http://www.w3.org/2001/XMLSchema#string>
"RCGHAGIMQPCIRT-MYZSUADSSA-N"	<http://www.wikidata.org/entity/Q104399942>	<http://www.wikidata.org/entity/Q1002550>	"Calodendrum capense"^^<http://www.w3.org/2001/XMLSchema#string>
"RCGHAGIMQPCIRT-CTHBEMJXSA-N"	<http://www.wikidata.org/entity/Q105233629>	<http://www.wikidata.org/entity/Q1002550>	"Calodendrum capense"^^<http://www.w3.org/2001/XMLSchema#string>
"ZQPPMHVWECSIRJ-KTKRTIGZSA-N"	<http://www.wikidata.org/entity/Q207688>	<http://www.wikidata.org/entity/Q1002550>	"Calodendrum capense"^^<http://www.w3.org/2001/XMLSchema#string>
"UKMSUNONTOPOIO-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q422590>	<http://www.wikidata.org/entity/Q1002550>	"Calodendrum capense"^^<http://www.w3.org/2001/XMLSchema#string>
"TUNFSRHWOTWDNC-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q422658>	<http://www.wikidata.org/entity/Q1002550>	"Calodendrum capense"^^<http://www.w3.org/2001/XMLSchema#string>
"VKOBVWXKNCXXDE-UHFFFAOYSA-N"	<http://www.wikidata.org/entity/Q409608>	<http://www.wikidata.org/entity/Q1002550>	"Calodendrum capense"^^<http://www.w3.org/2001/XMLSchema#string>
"FSLPMRQHCOLESF-SFMCKYFRSA-N"	<http://www.wikidata.org/entity/Q2501558>	<http://www.wikidata.org/entity/Q1021004>	"Acanthus ilicifolius"^^<http://www.w3.org/2001/XMLSchema#string>
"HCXVJBMSMIARIN-PHZDYDNGSA-N"	<http://www.wikidata.org/entity/Q425004>	<http://www.wikidata.org/entity/Q1021004>	"Acanthus ilicifolius"^^<http://www.w3.org/2001/XMLSchema#string>
"CIYLTHWUJCCASO-APACUCGBSA-N"	<http://www.wikidata.org/entity/Q104960663>	<http://www.wikidata.org/entity/Q1021004>	"Acanthus ilicifolius"^^<http://www.w3.org/2001/XMLSchema#string>
"ALMDXDJFNMSYBR-XWYNBPJESA-N"	<http://www.wikidata.org/entity/Q104914200>	<http://www.wikidata.org/entity/Q1021004>	"Acanthus ilicifolius"^^<http://www.w3.org/2001/XMLSchema#string>
