?source_wdx	?sourceName	?traitCategory	?traitLabel	?tryDataVal	?unit	?unitComment
<http://www.wikidata.org/entity/Q1000821>	"Pterygota alata"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	2.28	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q102240169>	"Salvia rosmarinus"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.275	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10263766>	"Dalbergia miscolobium"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	2.23	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10263766>	"Dalbergia miscolobium"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf phosphorus content"	"Leaf phosphorus content per dry mass (Pmass)"^^<http://www.w3.org/2001/XMLSchema#string>	0.065	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10263766>	"Dalbergia miscolobium"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf phosphorus content"	"Leaf phosphorus content per dry mass (Pmass)"^^<http://www.w3.org/2001/XMLSchema#string>	0.06	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10273104>	"Enterolobium ellipticum"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	2.58	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10306429>	"Dialium guianense"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	3.07	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10306678>	"Cariniana estrellensis"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.9	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1031120>	"Ceiba speciosa"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	2.4	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1031585>	"Carex lanceolata"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.44	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10320466>	"Luehea seemannii"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	2.03	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10346233>	"Gallesia integrifolia"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.6	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10348424>	"Ambelania acida"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.47	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1037138>	"Carpinus tschonoskii"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.47	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1037138>	"Carpinus tschonoskii"^^<http://www.w3.org/2001/XMLSchema#string>	"Specific leaf area"	"SLA: undefined if petiole in- or excluded"^^<http://www.w3.org/2001/XMLSchema#string>	303.5823	<http://qudt.org/vocab/unit/CentiM2-PER-GM>	"SLA cm2/g"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1037160>	"Corylus sieboldiana"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	2.19	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1037160>	"Corylus sieboldiana"^^<http://www.w3.org/2001/XMLSchema#string>	"Specific leaf area"	"SLA: undefined if petiole in- or excluded"^^<http://www.w3.org/2001/XMLSchema#string>	272.4796	<http://qudt.org/vocab/unit/CentiM2-PER-GM>	"SLA cm2/g"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1038150>	"Themeda triandra"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.19	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1038150>	"Themeda triandra"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.29	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1038150>	"Themeda triandra"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.38	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1038150>	"Themeda triandra"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.48	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10384488>	"Trema micrantha"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	2.9	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10388519>	"Endopleura uchi"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.34	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10388519>	"Endopleura uchi"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf phosphorus content"	"Leaf phosphorus content per dry mass (Pmass)"^^<http://www.w3.org/2001/XMLSchema#string>	0.083	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q10392266>	"Vochysia tucanorum"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf phosphorus content"	"Leaf phosphorus content per dry mass (Pmass)"^^<http://www.w3.org/2001/XMLSchema#string>	0.06428571	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1040366>	"Rhododendron dauricum"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf phosphorus content"	"Leaf phosphorus content per dry mass (Pmass)"^^<http://www.w3.org/2001/XMLSchema#string>	2.1	<http://qudt.org/vocab/unit/MilliGM-PER-GM>	"mg/g"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1041681>	"Eurya japonica"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf phosphorus content"	"Leaf phosphorus content per dry mass (Pmass)"^^<http://www.w3.org/2001/XMLSchema#string>	0.68	<http://qudt.org/vocab/unit/MilliGM-PER-GM>	"mg/g"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q104247021>	"Arctostaphylos alpinus"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.4	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q104247021>	"Arctostaphylos alpinus"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.61	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q104247021>	"Arctostaphylos alpinus"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf phosphorus content"	"Leaf phosphorus content per dry mass (Pmass)"^^<http://www.w3.org/2001/XMLSchema#string>	0.124	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q104247021>	"Arctostaphylos alpinus"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf phosphorus content"	"Leaf phosphorus content per dry mass (Pmass)"^^<http://www.w3.org/2001/XMLSchema#string>	0.1	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q104247021>	"Arctostaphylos alpinus"^^<http://www.w3.org/2001/XMLSchema#string>	"Specific leaf area"	"SLA: undefined if petiole in- or excluded"^^<http://www.w3.org/2001/XMLSchema#string>	146.4553	<http://qudt.org/vocab/unit/CentiM2-PER-GM>	"SLA cm2/g"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q1044186>	"Pinus densiflora"^^<http://www.w3.org/2001/XMLSchema#string>	"Specific leaf area"	"SLA: undefined if petiole in- or excluded"^^<http://www.w3.org/2001/XMLSchema#string>	0.005	<http://qudt.org/vocab/unit/M2-PER-GM>	"m2/g"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q104946713>	"Ocotea costulata"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.43	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q104946713>	"Ocotea costulata"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.42	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q104946713>	"Ocotea costulata"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.56	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q104946713>	"Ocotea costulata"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.62	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q104946713>	"Ocotea costulata"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.82	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.wikidata.org/entity/Q104946713>	"Ocotea costulata"^^<http://www.w3.org/2001/XMLSchema#string>	"Leaf nitrogen content"	"Leaf nitrogen content per dry mass (Nmass)"^^<http://www.w3.org/2001/XMLSchema#string>	1.37	<http://qudt.org/vocab/unit/PERCENT>	"%"^^<http://www.w3.org/2001/XMLSchema#string>
