Input Term,Best Match,URI
#2 guts,gut wall,http://purl.obolibrary.org/obo/UBERON_0000328
abdominal cavity,abdominal cavity,http://purl.obolibrary.org/obo/UBERON_0003684
abo,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358
abo1,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358
abomasum,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358
abomasum,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358
si,small intestine,http://purl.obolibrary.org/obo/UBERON_0002108
abo,abomasum,http://purl.obolibrary.org/obo/UBERON_0007358
sm intestine,small intestine,http://purl.obolibrary.org/obo/UBERON_0002108
allantoic fluid,allantois,http://purl.obolibrary.org/obo/UBERON_0004340
antenna,antenna,http://purl.obolibrary.org/obo/UBERON_0000972
antennal glands,antennal gland,http://purl.obolibrary.org/obo/UBERON_0009963
bark,bark,http://purl.obolibrary.org/obo/PO_0004518
bile duct,bile duct,http://purl.obolibrary.org/obo/UBERON_0002394
bile duct,bile duct,http://purl.obolibrary.org/obo/UBERON_0002394
pancreas,pancreas,http://purl.obolibrary.org/obo/UBERON_0001264
bile ducts,bile duct,http://purl.obolibrary.org/obo/UBERON_0002394
bladder,urinary bladder,http://purl.obolibrary.org/obo/UBERON_0001255
blood,blood,http://purl.obolibrary.org/obo/UBERON_0000178
#body,body of stomach,http://purl.obolibrary.org/obo/UBERON_0001161
body cavity,organ cavity,http://purl.obolibrary.org/obo/UBERON_0002558
body surface,anatomical surface,http://purl.obolibrary.org/obo/UBERON_0006984
brain,brain,http://purl.obolibrary.org/obo/UBERON_0000955
#branchial arteries,recurrent branch afferent branchial artery,http://purl.obolibrary.org/obo/UBERON_2005014
#bursa,bursal plica,http://purl.obolibrary.org/obo/UBERON_0003904
caeca,caecum,http://purl.obolibrary.org/obo/UBERON_0001153
intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160
caecum,caecum,http://purl.obolibrary.org/obo/UBERON_0001153
caecum,caecum,http://purl.obolibrary.org/obo/UBERON_0001153
large intestine,large intestine,http://purl.obolibrary.org/obo/UBERON_0000059
caecum (or cecum),caecum,http://purl.obolibrary.org/obo/UBERON_0001153
#ceca,cercaria,http://purl.obolibrary.org/obo/UBERON_0018388
#cecae,cercaria,http://purl.obolibrary.org/obo/UBERON_0018388
cecum,caecum,http://purl.obolibrary.org/obo/UBERON_0001153
cerebrospinal fluid,cerebrospinal fluid,http://purl.obolibrary.org/obo/UBERON_0001359
#cervical ligament,cervical fascia,http://purl.obolibrary.org/obo/UBERON_0013491
cloaca,cloaca,http://purl.obolibrary.org/obo/UBERON_0000162
coelom,coelom,http://purl.obolibrary.org/obo/UBERON_0011997
#coelom cyst,coelomic epithelium,http://purl.obolibrary.org/obo/UBERON_0005891
#coelomic cavity,extraembryonic coelomic cavity,http://purl.obolibrary.org/obo/UBERON_0003888
colon,colon,http://purl.obolibrary.org/obo/UBERON_0001155
connective tissue-neck,neck connective tissue,http://purl.obolibrary.org/obo/UBERON_0003568
connective tissue-stomach,abdomen connective tissue,http://purl.obolibrary.org/obo/UBERON_0003567
diaphragm muscles,diaphragmaticus muscle,http://purl.obolibrary.org/obo/UBERON_0036071
digestive gland,gland of digestive tract,http://purl.obolibrary.org/obo/UBERON_0003408
dorsal colon,dorsal pouch,http://purl.obolibrary.org/obo/UBERON_3000999
dorsal mesenteries,dorsal mesentery,http://purl.obolibrary.org/obo/UBERON_0002296
#dorsal skeletal muscle,dorsal erector muscle,http://purl.obolibrary.org/obo/UBERON_2000500
duodenum,duodenum,http://purl.obolibrary.org/obo/UBERON_0002114
