Input Term,Best Match,URI,
#0+,gold(0),http://purl.obolibrary.org/obo/CHEBI_30050,
#0,gold(0),http://purl.obolibrary.org/obo/CHEBI_30050,
#I,well,http://purl.obolibrary.org/obo/ENVO_00000026,
#II,variant,http://purl.obolibrary.org/obo/PATO_0001227,
#III,occurrent,http://purl.obolibrary.org/obo/BFO_0000003,
1 adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
1 Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
1 Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,
A,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
#Acanthella,Acrididea,http://purl.obolibrary.org/obo/NCBITaxon_1955150, #wrongly labelled life stage name. Acanthella is a genus name
#active,open,http://purl.obolibrary.org/obo/PATO_0000610, #not sure what active means here
adolescaria,larval stage,http://purl.obolibrary.org/obo/UBERON_0000069,#no specific term for adolescaria - late larval stage
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adult;;,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adult?,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
#chick,breast feather,http://purl.obolibrary.org/obo/UBERON_0018538,
adult; egg,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adult female,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,
juveniles,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
Larval,larval,http://purl.obolibrary.org/obo/PATO_0001185,
adult male,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
pupal case,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,
adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
Adult(s),adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
#age class 2+,age,http://purl.obolibrary.org/obo/PATO_0000011,
#Budding,flower bud,http://purl.obolibrary.org/obo/PO_0000056,
#calyptopis,calcaneus,http://purl.obolibrary.org/obo/UBERON_0001450,
cercaria,cercaria,http://purl.obolibrary.org/obo/UBERON_0018388,
Cercariae,cercaria,http://purl.obolibrary.org/obo/UBERON_0018388,
#cercariae; redia,cercaria,http://purl.obolibrary.org/obo/UBERON_0018388,
#chick,breast feather,http://purl.obolibrary.org/obo/UBERON_0018538,
#chick,breast feather,http://purl.obolibrary.org/obo/UBERON_0018538,
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
copepod,copepodite stage,http://purl.obolibrary.org/obo/UBERON_0014860,
COPEPODITE,copepodite stage,http://purl.obolibrary.org/obo/UBERON_0014860,
copepodite 1,copepodite stage 1,http://purl.obolibrary.org/obo/UBERON_8200002,
copepodite 2,copepodite stage 2,http://purl.obolibrary.org/obo/UBERON_8200003,
copepodite 3,copepodite stage 3,http://purl.obolibrary.org/obo/UBERON_8200004,
copepodite 4,copepodite stage 4,http://purl.obolibrary.org/obo/UBERON_8200005,
copepodite 5,copepodite stage 5,http://purl.obolibrary.org/obo/UBERON_8200006,
copepodite 6,copepodite stage 6,http://purl.obolibrary.org/obo/UBERON_8200007,
#cyprid,Cyprinoidei,http://purl.obolibrary.org/obo/NCBITaxon_30727,
#CYPRIS,Cyprinoidei,http://purl.obolibrary.org/obo/NCBITaxon_30727,
#cyst,chalazal cyst,http://purl.obolibrary.org/obo/PO_0000201,
#cystacanth,Cyclostomata,http://purl.obolibrary.org/obo/NCBITaxon_1476529,
#Cystacanth,Cyclostomata,http://purl.obolibrary.org/obo/NCBITaxon_1476529,
cysticercus,cysticercus stage,http://purl.obolibrary.org/obo/UBERON_0014856,
#deutonymph,deuteron,http://purl.obolibrary.org/obo/CHEBI_29233,
early life stages,infant stage,http://purl.obolibrary.org/obo/UBERON_0034920,
#egg,egg yolk,http://purl.obolibrary.org/obo/UBERON_0007378,
#eggs,egg yolk,http://purl.obolibrary.org/obo/UBERON_0007378,
embryo,embryo,http://purl.obolibrary.org/obo/UBERON_0000922,
#f1,ford,http://purl.obolibrary.org/obo/ENVO_00000411,
#f3,fomite,http://purl.obolibrary.org/obo/ENVO_00010358,
#f4,fomite,http://purl.obolibrary.org/obo/ENVO_00010358,
