InputTerm,BestMatch,URI,Comment
antheridial cup,antheridial cup,,
bud scale,bud scale leaf,http://purl.obolibrary.org/obo/PO_0020054,
bud-scale,bud scale leaf,http://purl.obolibrary.org/obo/PO_0020054,
branchiostegals,branchiostegal ray series,http://purl.obolibrary.org/obo/UBERON_2002101,
bronchial mucus,bronchial mucosa,http://purl.obolibrary.org/obo/BTO_0001846,
caudal extremity of last abdominal segment,caudal extremity of last abdominal segment,,
claw joint,claw joint,,
clothing,clothing,http://purl.obolibrary.org/obo/NCIT_C86930,
clump underside,clump underside,,
coxae,hip,http://purl.obolibrary.org/obo/UBERON_0001464,
culm base,culm base,,
cupule inner surface,cupula,http://purl.obolibrary.org/obo/HAO_0000238,
cupule inside,cupula,http://purl.obolibrary.org/obo/HAO_0000238,
cupule stalk,cupula,http://purl.obolibrary.org/obo/HAO_0000238,
cuticula,cuticle,http://purl.obolibrary.org/obo/UBERON_0001002,
abdomen,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,
abdomen (respiratory structure,abdomen,http://purl.obolibrary.org/obo/UBERON_0000916,
achenes,achene,http://purl.obolibrary.org/obo/BTO_0000027,
achene,achene,http://purl.obolibrary.org/obo/BTO_0000027,
adhesive branch trap,adhesive,http://purl.obolibrary.org/obo/PATO_0002331,
adhesive loop trap,adhesive,http://purl.obolibrary.org/obo/PATO_0002331,
adhesive network trap,adhesive,http://purl.obolibrary.org/obo/PATO_0002331,
adventitious root,adventitious root,http://purl.obolibrary.org/obo/BTO_0005273,
aecium,aecium,http://purl.obolibrary.org/obo/FAO_0000056,
aerial part,aerial part,http://purl.obolibrary.org/obo/BTO_0001658,
antennae,antenna,http://purl.obolibrary.org/obo/BTO_0000074,
antennomere,antennomere,http://purl.obolibrary.org/obo/CLAO_0001003,
anther,anther,http://purl.obolibrary.org/obo/PO_0009066,
anu,anus,http://purl.obolibrary.org/obo/UBERON_0001245,
apothecium,apothecium,http://purl.obolibrary.org/obo/FAO_0001034,
appendage,appendage,http://purl.obolibrary.org/obo/UBERON_0000026,
appressorium,appressorium,http://purl.obolibrary.org/obo/FAO_0002005,
arm,arm,http://purl.obolibrary.org/obo/UBERON_0001460,
ascocarp,ascocarp,http://purl.obolibrary.org/obo/FAO_0000008,
atrium,atrium,http://purl.obolibrary.org/obo/BTO_0000903,
axil,axil,http://purl.obolibrary.org/obo/PO_0025224,
bark at trunk base,bark,http://purl.obolibrary.org/obo/PO_0004518,
bark (inside and outside),bark,http://purl.obolibrary.org/obo/PO_0004518,
"bark (twig, under)",bark,http://purl.obolibrary.org/obo/PO_0004518,
bark branch,bark,http://purl.obolibrary.org/obo/PO_0004518,
bark deeply flanged,bark,http://purl.obolibrary.org/obo/PO_0004518,
bark esp,bark,http://purl.obolibrary.org/obo/PO_0004518,
bark fallen tree,bark,http://purl.obolibrary.org/obo/PO_0004518,
bark inner surface,bark,http://purl.obolibrary.org/obo/PO_0004518,
bark inside,bark,http://purl.obolibrary.org/obo/PO_0004518,
bark lenticel,lenticel,http://purl.obolibrary.org/obo/PO_0000031,
barkneedle,bark,http://purl.obolibrary.org/obo/PO_0004518,
bark small branch,bark,http://purl.obolibrary.org/obo/PO_0004518,
bark small stem,stem leaf,http://purl.obolibrary.org/obo/BTO_0005694,
bark subapical,bark,http://purl.obolibrary.org/obo/PO_0004518,
bark trunk,bark,http://purl.obolibrary.org/obo/PO_0004518,
