InputTerm,BestMatch,URI,Comment
#0+,,,
#0,,,
#I,,,
#II,,,
#III,,,
dematiaceous anamorph,dematiaceous anamorph,,
coelomycetous anamorph,coelomycetous anamorph,,
anamorph,anamorph,,
synnemata,synnemata,,
synnemat,synnemata,,
synnema,synnemata,,
protospore,protospore,,
protospores,protospore,,
Brood,brood,,
brood,brood,,
alate,alate,,
aerial,aerial,,
acorn,acorn,,
amphispore,amphispore,,
anamorph,anamorph,,
ascigerous,ascigerous,,
Ascigerous,Ascigerous,,
ascostromata,ascostroma,,
ascostroma,ascostroma,,
autumn form,autumn form,,
autumn generation larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,
after hatching year,after hatching year,,
carrion,carrion,,
carrion (adult),carrion adult,,
carrion (juvenile),carrion juvenile,,
euparthenitae,euparthenitae,,
parthenitae,parthenitae,,
parthenita,parthenitae,,
Parthenitae,parthenitae,,
Parthinitae,parthenitae,,
pseudosclerotia,pseudosclerotia,,
redia,redia,,
rediae,redia,,
redium,redium,,
aptera,aptera,,
dead chrysalis,dead chrysalis,,
duckling,duckling,,
transitional,transitional,,
aethalium,aethalium,,
agamic gall,agamic gall,,
agamic larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,
ancient,ancient,,
antheridial,antheridial,,
blanket,blanket,,
bogs,bogs,,
boring,boring,,
borings,boring,,
brash,brash,,
buck,buck,,
bush,bush,,
capitulum,capitulum,,
cephalont,cephalont,,
clippings,clippings,,
coccidial oocyst,coccidial oocyst,,
coccidium,coccidium,,
corpse,corpse,,
cubs,cub,,
cub,cub,,
debris herbaceous,debris herbaceous,,
debris woody,woody debris,,
debris,debris,,
doe,doe,,
dung,dung,,
egg_mass,egg mass,,
Egg mass,egg mass,,
ergot,ergot,,
exuviae,exuvia,,
exuvia,exuvia,,
exuvium,exuvia,,
exxuvia,exuvia,,
fallen,fallen,,
Fallen leaves,allen leaf,,
Fallen branches,fallen branch,,
feeding stage,feeding stage,,
fledig,fledig,,
Fledig,fledig,,
floatblast,floatblast,,
Floatblast,floatblast,,
fundatrigenia,fundatrigenia,,
fundatrispuria,fundatrispuria,,
fundatrix nymph,fundatrix nymph,,
Fundatrix nymph,fundatrix nymph,,
fundatrix,fundatrix,,
furcocercaria,furcocercaria,,
grain,grain,,
pelagic,pelagic,,
guano,guano,http://purl.obolibrary.org/obo/AGRO_00020003,
gallicola nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,
echinostome cercaria,cercaria,http://purl.obolibrary.org/obo/UBERON_0018388,
ecdysis,ecdysis,http://purl.obolibrary.org/obo/GO_0018990,
coastal or salted road verges,coastal or salted road verges,,
chlamydospore,chlamydospore,http://purl.obolibrary.org/obo/FAO_0000067,
Coenurus larva,coenurus,http://snomed.info/id/55445003,
coenurus larva,coenurus,http://snomed.info/id/55445003,
coenurus,coenurus,http://snomed.info/id/55445003,
avanthor larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,
acanthor larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,
aphidivorous larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,
developed,mature,http://purl.obolibrary.org/obo/PATO_0001701,
1° instar,first instar larva stage,http://purl.obolibrary.org/obo/UBERON_8000000,
2° instar,second instar larva stage,http://purl.obolibrary.org/obo/UBERON_8000001,
3° instar,third instar larva stage,http://purl.obolibrary.org/obo/UBERON_8000002,
4° instar,fourth instar larva stage,http://purl.obolibrary.org/obo/UBERON_8000003,
years,year,http://purl.obolibrary.org/obo/NCIT_C29848,
year,year,http://purl.obolibrary.org/obo/NCIT_C29848,
-year,year,http://purl.obolibrary.org/obo/NCIT_C29848,
months,month,http://purl.obolibrary.org/obo/NCIT_C29846,
weeks,week,http://purl.obolibrary.org/obo/NCIT_C29844,
week,week,http://purl.obolibrary.org/obo/NCIT_C29844, 
weeks old,week,http://purl.obolibrary.org/obo/NCIT_C29844,
days,day,http://purl.obolibrary.org/obo/NCIT_C25301,
fluke,fluke,http://purl.obolibrary.org/obo/UBERON_0013131,
food store,food store,,
food stores,food store,,
gall first generation,gall first generation,,
gall,gall,,
gallery,gallery,,
hedge tree,hedge tree,,
hexacanth,hexacanth,,
hop inflorescence mulch,hop inflorescence mulch,,
hydatid cyst,hydatid cyst,,
hyphal mat,hyphal mat,,
hypothallus,hypothallus,,
