origUnit,mapUnit
% (100 * g g-1 ),https://purl.org/emi/unit#%25%20%28100%20%2A%20g%20g-1%20%29
1/g,https://purl.org/emi/unit#1%2Fg
1/kg,https://purl.org/emi/unit#1%2Fkg
1/lb,https://purl.org/emi/unit#1%2Flb
1/lb (lb~454g),https://purl.org/emi/unit#1%2Flb
"1/liter (liter~1,7kg)",https://purl.org/emi/unit#1%2Fliter
1/pound,https://purl.org/emi/unit#1%2Fpound
% by wt,https://purl.org/emi/unit#%25%20by%20wt
C,https://purl.org/emi/unit#C
(cm2/g)/100,https://purl.org/emi/unit#%28cm2%2Fg%29%2F100
cm2 g-1,https://purl.org/emi/unit#cm2%20g-1
(cm2 g-1),https://purl.org/emi/unit#cm2%20g-1
cm2*g-1,https://purl.org/emi/unit#cm2%20g-1
cm2.g-1,https://purl.org/emi/unit#cm2%20g-1
cm^2 g^-1,https://purl.org/emi/unit#cm2%20g-1
cm2/gDW,https://purl.org/emi/unit#cm2%2FgDW
(cm2/g),https://purl.org/emi/unit#cm2%20g-1
cm2 / g,https://purl.org/emi/unit#cm2%20g-1
cm-2 g,https://purl.org/emi/unit#cm-2%20g
cm2/ g,https://purl.org/emi/unit#cm2%20g-1
cm2/g,https://purl.org/emi/unit#cm2%20g-1
cm2.g,https://purl.org/emi/unit#cm2.g
cm^2/g,https://purl.org/emi/unit#cm2%20g-1
cm2/g (n.r.),https://purl.org/emi/unit#cm2%20g-1
cm2 mg-1,https://purl.org/emi/unit#cm2%20mg-1
cm2mg-1,https://purl.org/emi/unit#cm2%20mg-1
cm2/mg,https://purl.org/emi/unit#cm2%20mg-1
cm2Зg-1,https://purl.org/emi/unit#cm2%20g-1
cm3/g,https://purl.org/emi/unit#cm3%20g-1
cm3,https://purl.org/emi/unit#cm3
cm3/mg,https://purl.org/emi/unit#cm3%20mg-1
cm per 6 month,https://purl.org/emi/unit#cm%20per%206%20month
cmВg-1,https://purl.org/emi/unit#cmB%20g-1
cmВ/g,https://purl.org/emi/unit#cmB%20g-1
cmВ.g,https://purl.org/emi/unit#cmB%20g
cmВ,https://purl.org/emi/unit#cmB
date,https://purl.org/emi/unit#date
day,https://purl.org/emi/unit#day
days,https://purl.org/emi/unit#days
DDM,https://purl.org/emi/unit#DDM
[dd/mm/yyyy],https://purl.org/emi/unit#dd%2Fmm%2Fyyyy
dd/mm/yyyy,https://purl.org/emi/unit#dd%2Fmm%2Fyyyy
d/y,https://purl.org/emi/unit#d%2Fy
E,https://purl.org/emi/unit#E
% field capacity,https://purl.org/emi/unit#%25%20field%20capacity
% full sun,https://purl.org/emi/unit#%25%20full%20sun
g / 1000 seeds,https://purl.org/emi/unit#g%2F1000%20seeds
g/1000 seeds,https://purl.org/emi/unit#g%2F1000%20seeds
g/100g,https://purl.org/emi/unit#g%2F100g
g/100 seeds,https://purl.org/emi/unit#g%2F100%20seeds
g C g-1 DW,https://purl.org/emi/unit#g%20C%20g-1%20DW
gC gN-1,https://purl.org/emi/unit#gC%20gN-1
gC kg-1,https://purl.org/emi/unit#gC%20kg-1
(g/cm2),https://purl.org/emi/unit#g%20cm-2
g cm-2,https://purl.org/emi/unit#g%20cm-2
g/cm2,https://purl.org/emi/unit#g%20cm-2
gC/m2,https://purl.org/emi/unit#gC%2Fm2
g(C)/m2/yr,https://purl.org/emi/unit#g%28C%29%2Fm2%2Fyr
(g/cm3)*100,https://purl.org/emi/unit#%28g%2Fcm3%29%2A100
g /(cm3*10),https://purl.org/emi/unit#g%2F%28cm3%2A10%29
gDM m-2,https://purl.org/emi/unit#gDM%20m-2
g N g-1 DW,https://purl.org/emi/unit#g%20N%20g-1%20DW
gN kg-1,https://purl.org/emi/unit#gN%20kg-1
g P g-1 DW,https://purl.org/emi/unit#g%20P%20g-1%20DW
(H2O),https://purl.org/emi/unit#H2O
H2O,https://purl.org/emi/unit#H2O
ha-1,https://purl.org/emi/unit#ha-1
H-SLA,https://purl.org/emi/unit#H-SLA
kg N ha-1 y-1,https://purl.org/emi/unit#kg%20N%20ha-1%20y-1
kgNha-1yr-1,https://purl.org/emi/unit#kgNha-1yr-1
kJ m2 d?1,https://purl.org/emi/unit#kJ%20m2%20d
kJ m-2 day-1,https://purl.org/emi/unit#kJ%20m-2%20day-1
log(lx),https://purl.org/emi/unit#log%28lx%29
mass%,https://purl.org/emi/unit#mass%25
% mass/mass,https://purl.org/emi/unit#%25%20mass%2Fmass
% of ECEC,https://purl.org/emi/unit#%25%20of%20ECEC
%DM,https://purl.org/emi/unit#%25DM
% dry mass,https://purl.org/emi/unit#%25%20dry%20mass
m/dd/yyyy,https://purl.org/emi/unit#mm%2Fdd%2Fyyyy
m/d/y,https://purl.org/emi/unit#m%2Fd%2Fy
meq/100 g,https://purl.org/emi/unit#meq%2F100%20g
mg/1000,https://purl.org/emi/unit#mg%2F1000
mg/100g,https://purl.org/emi/unit#mg%2F100g
mg/100,https://purl.org/emi/unit#mg%2F100
mg/100 seeds,https://purl.org/emi/unit#mg%2F100%20seeds
mg/10g,https://purl.org/emi/unit#mg%2F10g
mg C g-1Leaf,https://purl.org/emi/unit#mg%20C%20g-1Leaf
mgC gDM-1,https://purl.org/emi/unit#mgC%20gDM-1
mg/dm2,https://purl.org/emi/unit#mg%2Fdm2
mg/mg *100,https://purl.org/emi/unit#mg%2Fmg%20%2A100
mg mm-2,https://purl.org/emi/unit#mg%20mm-2
mg mm2,https://purl.org/emi/unit#mg%20mm2
mg/mm2,https://purl.org/emi/unit#mg%20mm-2
mg / mm3,https://purl.org/emi/unit#mg%20%mm-3
