origUnit,mapUnit
C,DEG_C
oC,DEG_C
1/ha,HA
1/m2,PER-M2
cm2,CentiM2
(cm2),CentiM2
cm 2,CentiM2
cm^2,CentiM2
cm2/gDW,CentiM2-PER-GM
cm-2 g,CentiM2-PER-GM
cm2.g,CentiM2-PER-GM
cm,CentiM
(cm),CentiM
Cm,CentiM
cm per 6 month,CentiM
cmol,CentiMOL
cmolc kg-1,CentiMOL-PER-KiloGM
cmol/kg(1/2Ca2+),CentiMOL-PER-KiloGM
cmol/kg(1/2MG2+),CentiMOL-PER-KiloGM
cmol kg-1,CentiMOL-PER-KiloGM
cmol+/kg,CentiMOL-PER-KiloGM
cmol/kg,CentiMOL-PER-KiloGM
decimal degrees,DEG
decimal degrees (WGS84),DEG
decimal degress WGS83,DEG
decimal degress WGS84,DEG
deg C,DEG_C
degC,DEG_C
deg,DEG
deg. East,DEG
deg. North,DEG
degree,DEG
Degree,DEG
degree N,DEG
degrees C,DEG_C
degrees,DEG
dimensionless,UNITLESS
dm2,DeciM2
dS m-1,DeciS-PER-M
dS/m,DeciS-PER-M
feet,FT
mmВ,MilliM2
W7m2,W-PER-M2
ЕScm-1,MicroS-PER-CentiM
g/1000,MilliGM
ug N / g soil (6 weeks),MicroGM-PER-GM
g_cm3-1,GM-PER-CentiM3
g / cm3,GM-PER-CentiM3
g cm-3,GM-PER-CentiM3
g*cm-3,GM-PER-CentiM3
g/cm^3,GM-PER-CentiM3
g/cm3,GM-PER-CentiM3
g/dm3,GM-PER-CentiM3
g g-1,GM-PER-GM
g/g,GM-PER-GM
g N g-1 DW,GM-PER-GM
g P g-1 DW,GM-PER-GM
g,GM
g ?,GM
(H2O),PH
H2O,PH
ha-1,NUM-PER-HA
stems ha-1,NUM-PER-HA
trees ha-1,NUM-PER-HA
gC gN-1,NUM
g  kg-1,GM-PER-KiloGM
gC kg-1,GM-PER-KiloGM
gN kg-1,GM-PER-KiloGM
g kg-1,GM-PER-KiloGM
g/kg,GM-PER-KiloGM
g  m-2,GM-PER-M2
g m2,GM-PER-M2
g m-2,GM-PER-M2
g m2,GM-PER-M2
g.m2,GM-PER-M2
g/m^2,GM-PER-M2
g/m2,GM-PER-M2
gm-2,GM-PER-M2
(g m-2),GM-PER-M2
gm/kg,GM-PER-KiloGM
g / ml,GM-PER-MilliL
grad,GRAD
gr/cm3,GM-PER-CentiM3
gr,GM
gЗcm-3,GM-PER-CentiM3
gЗkg-1,GM-PER-KiloGM
ha,HA
h,HR
hour,HR
hours,HR
J/m3/K,J-PER-M3-K
kg dm-3,KiloGM-PER-DeciM3
kg/ha,KiloGM-PER-HA
kg/kg,KiloGM-PER-KiloGM
kg/m2,KiloGM-PER-M2
kg m-3,KiloGM-PER-M3
kg/m3,KiloGM-PER-M3
